,income_groups,age,gender,year,population
0,high_income,0,Male,1950,7798286
1,high_income,0,Male,1951,7739711
2,high_income,0,Non-binary,1952,7713905
3,high_income,0,Male,1953,7722053
4,high_income,0,Male,1954,7756149
5,high_income,0,Non-binary,1955,7816237
6,high_income,0,Male,1956,7881285
7,high_income,0,Male,1957,7963331
8,high_income,0,Male,1958,8059561
9,high_income,0,Male,1959,8145397
11,high_income,0,Non-binary,1961,8215856
12,high_income,0,Male,1962,8246837
14,high_income,0,Male,1964,8286815
15,high_income,0,Male,1965,8226634
17,high_income,0,Non-binary,1967,7891497
18,high_income,0,Male,1968,7879501
19,high_income,0,Male,1969,7829859
20,high_income,0,Male,1970,7847667
21,high_income,0,Male,1971,7877076
22,high_income,0,Male,1972,7788912
23,high_income,0,Male,1973,7622554
25,high_income,0,Male,1975,7380875
26,high_income,0,Male,1976,7268090
28,high_income,0,Male,1978,7252074
30,high_income,0,Male,1980,7344529
31,high_income,0,Male,1981,7325343
33,high_income,0,Male,1983,7225239
34,high_income,0,Male,1984,7137798
36,high_income,0,Male,1986,7051079
37,high_income,0,Male,1987,7041240
38,high_income,0,Male,1988,7050006
39,high_income,0,Male,1989,7094591
41,high_income_typo,0,Male,1991,7135453
42,high_income,0,Male,1992,7082019
43,high_income,0,Male,1993,6993328
44,high_income,0,Male,1994,6883434
46,high_income,0,Male,1996,6716983
48,high_income,0,Male,1998,6660832
49,high_income_typo,0,Male,1999,6606375
50,high_income,0,Male,2000,6617943
51,high_income,0,Male,2001,6610135
52,high_income,0,Male,2002,6528265
54,high_income,0,Male,2004,6540396
55,high_income,0,Male,2005,6559108
58,high_income,0,Male,2008,6812714
59,high_income,0,Male,2009,6826019
60,high_income,0,Male,2010,6773564
61,high_income,0,Male,2011,6703672
62,high_income,0,Male,2012,6670392
63,high_income_typo,0,Male,2013,6627748
64,high_income,0,Male,2014,6601389
65,high_income,0,Male,2015,6612729
66,high_income,0,Male,2016,6604755
67,high_income,0,Male,2017,6512293
68,high_income_typo,0,Male,2018,6360084
69,high_income,0,Male,2019,6236119
70,high_income,0,Male,2020,6073742
71,high_income,0,Male,2021,5985257
72,high_income,0,Male,2022,5956472
73,high_income,0,Male,2023,5851268
74,high_income,0,Male,2024,5795663
75,high_income,0,Male,2025,5795853
76,high_income,0,Male,2026,5782153
77,high_income,0,Non-binary,2027,5774329
79,high_income,0,Male,2029,5771383
80,high_income,0,Male,2030,5775141
81,high_income,0,Male,2031,5782764
83,high_income,0,Male,2033,5814797
85,high_income,0,Male,2035,5864759
87,high_income,0,Male,2037,5926911
88,high_income,0,Male,2038,5955303
89,high_income,0,Male,2039,5982720
91,high_income,0,Male,2041,6020481
92,high_income,0,Male,2042,6030694
93,high_income,0,Male,2043,6034469
94,high_income,0,Male,2044,6031058
95,high_income,0,Male,2045,6022514
97,high_income_typo,0,Male,2047,5980051
98,high_income,0,Male,2048,5951062
99,high_income,0,Male,2049,5918053
100,high_income,0,Male,2050,5883049
101,high_income,0,Male,2051,5848233
102,high_income_typo,0,Male,2052,5812109
104,high_income,0,Male,2054,5742710
105,high_income,0,Male,2055,5710662
107,high_income,0,Male,2057,5661060
109,high_income,0,Male,2059,5629090
111,high_income,0,Male,2061,5618167
112,high_income_typo,0,Male,2062,5618295
113,high_income,0,Male,2063,5621700
114,high_income,0,Male,2064,5629184
115,high_income,0,Male,2065,5639888
116,high_income,0,Male,2066,5653464
119,high_income,0,Male,2069,5700372
120,high_income,0,Male,2070,5716290
121,high_income,0,Male,2071,5729327
122,high_income,0,Male,2072,5740276
124,high_income,0,Male,2074,5755593
125,high_income,0,Non-binary,2075,5762184
127,high_income,0,Male,2077,5766482
130,high_income,0,Non-binary,2080,5751926
131,high_income,0,Male,2081,5741854
132,high_income,0,Male,2082,5730236
133,high_income,0,Male,2083,5717376
134,high_income,0,Male,2084,5703939
135,high_income,0,Non-binary,2085,5690744
137,high_income,0,Male,2087,5667848
138,high_income,0,Male,2088,5657492
139,high_income,0,Male,2089,5649436
140,high_income,0,Male,2090,5643484
141,high_income,0,Male,2091,5638034
142,high_income,0,Male,2092,5634430
143,high_income,0,Male,2093,5633217
146,high_income,0,Male,2096,5637051
147,high_income_typo,0,Male,2097,5642304
149,high_income,0,Male,2099,5653796
150,high_income,0,Male,2100,5658483
155,high_income,0,Female,1954,7409628
156,high_income,0,Female,1955,7482347
157,high_income,0,Female,1956,7564891
160,high_income,0,Female,1959,7787656
161,high_income,0,Female,1960,7798290
163,high_income,0,Female,1962,7854217
164,high_income,0,Female,1963,7855562
166,high_income,0,Female,1965,7826953
167,high_income,0,Female,1966,7609988
169,high_income,0,Female,1968,7502282
170,high_income,0,Female,1969,7442219
171,high_income,0,Female,1970,7454461
172,high_income,0,Female,1971,7476451
173,high_income,0,Female,1972,7388413
175,high_income,0,Female,1974,7121690
176,high_income,0,Female,1975,6980809
177,high_income,0,Female,1976,6885153
178,high_income,0,Female,1977,6885229
179,high_income,0,Female,1978,6873455
181,high_income,0,Female,1980,6954609
182,high_income,0,Female,1981,6944597
183,high_income,0,Female,1982,6909028
184,high_income,0,Female,1983,6844708
185,high_income,0,Female,1984,6760730
